date, visits
07-2012, 747825
08-2012, 892366
09-2012, 950615
10-2012, 1070267
11-2012, 967908
12-2012, 836065
01-2013, 969068
02-2013, 915034
03-2013, 1046454
04-2013, 1031554
05-2013, 1025365
06-2013, 982827
07-2013, 956850
08-2013, 883073
09-2013, 946236
10-2013, 1058993
11-2013, 1006531
12-2013, 868392
01-2014, 992387
02-2014, 963018
03-2014, 1040312
04-2014, 1080628
05-2014, 1054730
06-2014, 978169
07-2014, 1201391
08-2014, 952744
09-2014, 1055215
10-2014, 1098185
11-2014, 1121312
12-2014, 962636
01-2015, 1107597
02-2015, 1070421
03-2015, 1252601
04-2015, 1228428
05-2015, 1135533
06-2015, 1135173
07-2015, 1197109
08-2015, 1158477
09-2015, 1311365
10-2015, 1361619
11-2015, 1365148
12-2015, 1176015
